number_of_pedestrians,number_of_vehicles,number_of_two_wheel_vehicles,proportion_of_speeding_vehicles,proportion_of_vehicles_without_lights,proportion_of_light_ignoring_vehicles,light_ignoring_percent,proportion_of_sign_ignoring_vehicles,sign_ignoring_percent,proportion_of_vehicle_ignoring_vehicles,vehicle_ignoring_percent,proportion_of_walker_ignoring_vehicles,walker_ignoring_percent,proportion_of_keeping_right_vehicles,keeping_right_percent,proportion_of_lane_changing_vehicles,lane_change_percent,proportion_of_misbehaving_pedestrians,proportion_of_running_pedestrians,proportion_of_road_crossing_pedestrians,number_of_junctions,distance_in_metres,area_in_square_metres,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,wetness,fog_falloff,scattering_intensity,mie_scattering_scale,rayleigh_scattering_scale,dust_storm,difficulty
15,38,6,0.2053,0.1672,0.2179,25.3988,0.153,27.9828,0.2098,11.2546,0.154,11.6436,0.1909,26.2972,0.177,18.1488,0.2146,0.2408,0.3574,3.8195,1300.9544,2170756.3041,19.6284,0.0,0.0,9.0493,348.8486,57.064,0.0,0.0,6.8361,0.0868,1.1443,0.0367,0.036,0.0,85.8823
17,46,5,0.1505,0.2116,0.1968,21.7735,0.2053,30.9694,0.1893,11.1067,0.2096,10.9519,0.1836,31.3564,0.2069,13.576,0.2611,0.2317,0.3342,4.8323,1393.2912,2679699.6839,19.3292,0.0,0.0,9.581,322.9946,56.1286,0.0,0.0,6.2701,0.0938,0.8884,0.0323,0.0374,0.0,79.1009
17,54,6,0.1856,0.2001,0.1924,30.3563,0.2099,24.0311,0.1651,10.156,0.1727,10.7021,0.1601,28.8702,0.2091,13.6986,0.2755,0.2369,0.3304,3.9456,1376.9194,2127654.8591,23.0584,0.0,0.0,11.9949,256.5472,60.0176,0.0,0.0,5.7744,0.095,0.9812,0.03,0.0324,0.0,64.2602
13,50,6,0.1963,0.1876,0.1891,30.8278,0.1757,29.7184,0.1496,9.0307,0.2136,10.2271,0.1809,32.1181,0.1857,13.6653,0.2439,0.2681,0.2634,4.7098,1323.7613,2972385.0496,22.3232,0.0,0.0,11.7964,264.9416,66.7242,0.0,0.0,4.9879,0.1107,0.9943,0.0291,0.0376,0.0,65.3172
17,38,5,0.1606,0.1899,0.1516,23.8914,0.1675,25.2541,0.2104,12.0967,0.1707,10.4178,0.1733,27.935,0.161,14.4885,0.2887,0.2541,0.2596,4.9035,1070.5279,2909447.6034,18.0476,0.0,0.0,11.232,293.8026,79.6022,0.0,0.0,6.4043,0.094,1.0691,0.0325,0.0364,0.0,60.6913
18,40,5,0.2004,0.1929,0.1668,22.7351,0.1669,30.851,0.1995,10.7798,0.1648,9.2788,0.1743,34.6502,0.1866,15.5599,0.2353,0.2757,0.3444,3.9694,1389.0227,2310310.3523,21.3766,0.0,0.0,11.0965,360.0,79.557,0.0,0.0,6.4748,0.0893,1.1754,0.0358,0.0324,0.0,62.5822
14,43,5,0.1768,0.1496,0.1625,30.9374,0.2152,30.1603,0.1791,12.4361,0.1492,11.4544,0.1935,35.4195,0.1883,15.806,0.2156,0.3066,0.3488,4.1903,1258.9912,2835181.0013,18.7678,0.0,0.0,8.7912,299.0279,80.3411,0.0,0.0,6.0589,0.1099,1.05,0.0337,0.0407,0.0,70.003
19,52,6,0.1655,0.1987,0.192,27.9858,0.1936,23.6962,0.1872,9.3031,0.2091,10.7698,0.2088,27.8809,0.2096,13.6687,0.2736,0.2617,0.3182,4.0401,1080.9076,2127969.1173,24.7775,0.0,0.0,11.7224,335.921,58.9105,0.0,0.0,5.4989,0.0939,0.913,0.0347,0.0372,0.0,86.2331
15,46,6,0.1778,0.1641,0.193,24.9388,0.2059,24.4337,0.1542,10.7012,0.1638,10.2276,0.1651,30.4017,0.1491,17.4487,0.2429,0.2557,0.3573,3.5579,1534.3902,2296789.2318,20.1245,0.0,0.0,10.3991,360.0,77.7653,0.0,0.0,6.5125,0.0884,0.9774,0.0287,0.0369,0.0,61.1256
15,55,5,0.202,0.176,0.1984,21.6152,0.1861,27.8954,0.1745,8.7827,0.1543,11.2873,0.1592,27.1325,0.1498,14.9022,0.211,0.2792,0.2938,3.4017,1240.2903,2513806.7304,17.8036,0.0,0.0,9.7621,294.1109,75.8735,0.0,0.0,5.9655,0.1134,1.0758,0.0299,0.0362,0.0,86.3321
15,44,5,0.1532,0.2181,0.1599,27.8092,0.1994,25.5781,0.2017,8.9443,0.2112,10.0916,0.2063,35.4536,0.1537,16.4621,0.2873,0.2265,0.2825,3.9391,1151.1315,2165429.181,24.2383,0.0,0.0,11.4189,274.7621,80.3998,0.0,0.0,4.9135,0.0917,1.1785,0.0339,0.0282,0.0,77.0264
15,47,6,0.1665,0.2096,0.1552,22.1936,0.1792,26.0685,0.1846,8.9581,0.216,11.3475,0.1895,26.5413,0.1963,15.5311,0.2679,0.2366,0.3526,3.7383,1082.7741,2800215.3305,19.7889,0.0,0.0,9.7316,302.0847,55.8548,0.0,0.0,6.1358,0.0898,1.0668,0.0282,0.0305,0.0,82.7733
14,39,5,0.1864,0.2133,0.2183,30.8256,0.2075,23.1431,0.2156,11.5626,0.1874,10.7449,0.2018,30.8825,0.1844,13.809,0.2896,0.2465,0.3327,4.2715,1203.4626,2683900.1458,24.9253,0.0,0.0,12.0656,280.1859,78.9374,0.0,0.0,6.4458,0.1005,1.0903,0.0366,0.0318,0.0,64.6568
16,55,6,0.1528,0.1855,0.156,27.4227,0.1698,26.5401,0.1935,11.9995,0.1791,8.6781,0.207,32.035,0.204,15.9228,0.2256,0.2627,0.373,4.808,1436.1365,3001915.5647,23.2415,0.0,0.0,12.1474,291.6732,69.361,0.0,0.0,5.7108,0.0962,1.0447,0.0258,0.0398,0.0,67.2419
17,51,5,0.1977,0.2128,0.2044,23.7667,0.1878,24.363,0.2022,11.7897,0.1848,9.6977,0.1703,32.6775,0.1937,16.824,0.2264,0.2252,0.2962,3.7118,1227.1552,2831072.0731,22.4414,0.0,0.0,10.2458,307.3555,56.7378,0.0,0.0,5.5499,0.1123,1.0668,0.0375,0.0374,0.0,68.2664
18,41,5,0.1957,0.1607,0.2167,30.9321,0.2186,24.803,0.1713,11.0797,0.1906,8.7885,0.149,34.5505,0.1566,13.0718,0.2257,0.2627,0.2869,4.6722,1305.9456,3097214.5442,21.153,0.0,0.0,9.0351,261.3091,55.629,0.0,0.0,6.8177,0.0957,0.8697,0.0359,0.0342,0.0,85.9322
16,43,5,0.1768,0.1697,0.1953,28.0797,0.2146,27.7509,0.1931,11.1224,0.2027,10.3406,0.1525,30.3028,0.1623,13.3798,0.2592,0.283,0.2877,3.9474,1206.4493,2979339.522,22.7788,0.0,0.0,11.5937,319.317,71.2777,0.0,0.0,6.5739,0.1212,1.1838,0.0305,0.04,0.0,65.3757
15,44,5,0.1575,0.1911,0.1696,24.43,0.1932,28.1798,0.1716,8.5851,0.183,12.2955,0.2109,35.9941,0.1612,16.7895,0.2024,0.3,0.3036,4.052,1355.981,2376584.8859,21.9431,0.0,0.0,11.0969,328.4788,60.3445,0.0,0.0,6.345,0.1127,0.8977,0.0306,0.0334,0.0,85.1417
13,40,5,0.1798,0.217,0.1591,26.8896,0.1787,24.8156,0.2091,10.8985,0.1831,12.4448,0.1857,26.6922,0.1559,14.6833,0.2686,0.2333,0.26,4.9722,1533.483,3048097.3114,23.0182,0.0,0.0,9.5694,300.8929,61.391,0.0,0.0,5.74,0.1099,0.8818,0.0364,0.0412,0.0,62.0823
15,54,6,0.2146,0.1996,0.1989,29.4422,0.21,23.5335,0.1611,11.3701,0.1697,11.1154,0.1913,27.2622,0.1593,18.406,0.2514,0.3028,0.3335,4.1864,1150.5513,2151895.0232,23.0878,0.0,0.0,10.3315,255.674,73.3642,0.0,0.0,6.735,0.1119,1.198,0.0312,0.0404,0.0,85.5721
13,48,5,0.1572,0.1831,0.1797,25.8555,0.1822,25.6042,0.1854,11.0326,0.1549,11.1537,0.1621,25.7917,0.1894,14.6792,0.2662,0.2575,0.323,4.6898,1499.2885,2282345.8253,22.2925,0.0,0.0,10.7736,286.8961,80.7856,0.0,0.0,6.6645,0.0965,1.0149,0.0268,0.0289,0.0,80.2769
15,43,4,0.1918,0.2137,0.1582,21.8388,0.2046,30.4197,0.1639,10.809,0.2094,10.3948,0.2109,29.4228,0.1559,14.5353,0.2276,0.2478,0.3673,3.5134,1163.5804,2980876.8949,24.8587,0.0,0.0,10.2079,268.7608,63.3564,0.0,0.0,6.821,0.124,0.8521,0.0281,0.0349,0.0,72.2099
14,46,5,0.1681,0.163,0.2131,26.4933,0.1519,28.4973,0.1903,8.5103,0.1611,10.0043,0.2168,29.6719,0.217,16.3623,0.2013,0.2712,0.3175,4.3351,1175.7921,2777450.2438,21.5998,0.0,0.0,11.4017,315.0748,55.8152,0.0,0.0,6.1785,0.1249,0.9797,0.032,0.0307,0.0,78.2694
17,53,6,0.2017,0.2187,0.1751,24.7509,0.1534,26.8013,0.1575,9.5164,0.206,10.2638,0.218,32.1898,0.2125,13.4104,0.2506,0.2493,0.2694,4.9726,1355.547,2998604.8952,23.0985,0.0,0.0,9.3551,317.6631,75.9889,0.0,0.0,6.6102,0.1032,1.0236,0.0256,0.0295,0.0,64.5621
14,48,5,0.1999,0.153,0.1535,27.3798,0.186,26.0317,0.1698,9.1482,0.1786,11.4269,0.1679,33.7898,0.1753,14.027,0.2656,0.2408,0.3472,3.4769,1253.5615,2837588.0634,20.3992,0.0,0.0,8.8042,317.4486,61.191,0.0,0.0,6.0002,0.1005,0.9321,0.0308,0.0353,0.0,74.0123
17,45,6,0.1667,0.149,0.1866,24.9571,0.1566,23.8438,0.1716,9.7716,0.1872,12.3054,0.1847,36.2163,0.1725,13.1118,0.2878,0.2598,0.2646,4.4125,1313.5788,2844122.5339,19.9243,0.0,0.0,9.2328,360.0,59.2666,0.0,0.0,5.8068,0.114,1.0905,0.0292,0.0327,0.0,67.6299
17,54,5,0.1892,0.1507,0.2039,22.1202,0.196,25.0867,0.2084,11.9242,0.1614,9.3619,0.1846,34.3937,0.1839,14.7363,0.2246,0.2715,0.3552,3.5444,1260.8934,2733238.2987,23.7512,0.0,0.0,9.2909,359.3276,78.7304,0.0,0.0,5.8892,0.1187,0.8788,0.0342,0.0318,0.0,60.5038
13,40,5,0.1829,0.1997,0.179,23.2142,0.2079,29.2172,0.1684,9.9834,0.1754,8.5936,0.2174,34.6483,0.194,15.2828,0.2062,0.286,0.324,3.9093,1151.1349,2816748.528,20.5185,0.0,0.0,12.1492,270.916,61.3103,0.0,0.0,5.8313,0.1232,1.2087,0.0311,0.0283,0.0,59.811
17,44,4,0.2049,0.2032,0.2137,31.2398,0.1753,26.9331,0.1961,9.0586,0.1911,11.8632,0.215,30.1695,0.1914,18.2322,0.2698,0.282,0.276,4.774,1432.3234,2181254.821,20.7842,0.0,0.0,9.8108,360.0,70.6199,0.0,0.0,6.3991,0.1057,0.8712,0.026,0.0363,0.0,81.1256
17,45,5,0.1821,0.1942,0.1754,29.8644,0.1497,23.1001,0.1531,10.9064,0.152,11.6632,0.1738,27.6483,0.1605,17.5103,0.2319,0.2356,0.3611,3.8719,1192.7125,2956621.4202,22.2338,0.0,0.0,9.2673,349.2765,66.1593,0.0,0.0,6.5546,0.0926,1.1715,0.0358,0.0401,0.0,76.8437
18,49,6,0.1715,0.2025,0.1845,29.0367,0.1892,21.2972,0.1615,9.1067,0.1911,11.4104,0.175,27.7974,0.1609,12.9161,0.2527,0.2302,0.3565,4.5205,1293.9911,2250290.4128,17.4952,0.0,0.0,11.6311,291.0246,60.5264,0.0,0.0,5.1937,0.0917,1.0373,0.0345,0.0353,0.0,82.6501
13,48,6,0.1738,0.184,0.1528,29.4022,0.2036,22.0467,0.1586,10.1461,0.1539,8.888,0.2114,26.1456,0.1619,14.4066,0.2722,0.2789,0.354,4.5863,1441.5609,2799014.3475,24.1727,0.0,0.0,8.7198,311.0883,63.7327,0.0,0.0,5.6199,0.114,1.0345,0.0371,0.0351,0.0,85.4049
16,38,5,0.1643,0.2174,0.2158,23.0668,0.218,28.1591,0.1561,12.4823,0.163,10.4711,0.2186,26.4349,0.1588,13.776,0.2443,0.2293,0.343,3.77,1116.8655,2352570.7568,19.2537,0.0,0.0,9.3956,323.0962,80.7026,0.0,0.0,6.9659,0.0942,1.1645,0.0289,0.0305,0.0,79.0712
15,42,6,0.1569,0.1547,0.172,24.6269,0.1495,25.83,0.2043,11.1498,0.1815,12.127,0.2045,33.1308,0.1812,12.8549,0.2338,0.2331,0.2566,3.4361,1532.3968,2843643.0083,22.6502,0.0,0.0,8.5354,323.4514,59.9447,0.0,0.0,5.7775,0.1169,0.9179,0.0367,0.0389,0.0,80.9278
15,48,5,0.151,0.1753,0.1531,23.1157,0.1908,25.4945,0.1611,11.3158,0.1579,10.7347,0.2003,33.2703,0.2149,13.0462,0.2509,0.2554,0.3248,4.9607,1133.9792,2352670.9837,23.1441,0.0,0.0,9.3014,280.033,79.6039,0.0,0.0,5.8064,0.1009,1.2124,0.0347,0.034,0.0,65.2035
15,40,5,0.182,0.1933,0.1716,21.6,0.218,21.8211,0.1958,10.6552,0.191,8.6118,0.1653,29.982,0.2134,15.3267,0.2826,0.3017,0.2769,4.4798,1196.2277,2302329.2208,23.4478,0.0,0.0,8.7277,265.0871,63.3671,0.0,0.0,6.1689,0.1047,1.188,0.034,0.0396,0.0,61.9287
18,42,5,0.1924,0.192,0.1902,25.9634,0.1739,28.7362,0.1633,9.3227,0.2063,9.1586,0.2052,30.9826,0.209,15.2789,0.2885,0.2873,0.261,3.4718,1289.7455,2247963.022,17.0483,0.0,0.0,9.6456,261.6024,76.5391,0.0,0.0,5.5245,0.0962,0.8857,0.0362,0.0359,0.0,86.0178
13,55,5,0.2067,0.1626,0.201,24.8385,0.168,23.6091,0.1507,10.9327,0.2095,9.1201,0.1724,35.7538,0.1899,15.8775,0.2622,0.278,0.3096,4.843,1105.7934,2453047.2967,24.2036,0.0,0.0,11.5528,358.1496,55.6753,0.0,0.0,4.8361,0.1059,0.872,0.0374,0.035,0.0,60.4899
19,42,6,0.1649,0.1771,0.1858,22.5534,0.1702,23.4104,0.1764,10.7148,0.1687,12.4159,0.1996,29.0614,0.204,13.5301,0.2518,0.2348,0.3326,4.5287,1374.4519,2892400.6989,19.7616,0.0,0.0,9.5069,334.4747,63.5469,0.0,0.0,6.6241,0.1071,0.9012,0.0313,0.0283,0.0,74.1929
15,44,4,0.162,0.173,0.1748,22.5528,0.209,26.062,0.1871,8.8917,0.1944,9.7693,0.1856,37.1451,0.1558,15.9043,0.2317,0.2318,0.2778,4.8936,1265.0719,2707566.4058,20.1473,0.0,0.0,10.2337,264.8254,76.8301,0.0,0.0,6.4833,0.0931,1.2089,0.0369,0.0334,0.0,69.064
15,39,5,0.181,0.1971,0.1825,25.6981,0.2044,29.0629,0.2104,9.7845,0.1505,10.5112,0.2023,25.9274,0.1628,16.7426,0.205,0.2927,0.3086,4.5364,1095.516,2471963.9602,22.2365,0.0,0.0,11.8652,266.2964,79.8348,0.0,0.0,6.7497,0.0932,1.21,0.033,0.037,0.0,61.2899
15,45,4,0.2026,0.1665,0.1506,26.5072,0.2082,23.2497,0.1887,11.0044,0.1862,11.1648,0.15,25.5862,0.1771,13.3311,0.2277,0.2163,0.2934,4.7125,1343.3949,2642248.054,20.4296,0.0,0.0,9.7109,321.0155,65.0014,0.0,0.0,4.9594,0.1193,1.0725,0.0287,0.0408,0.0,74.2471
13,45,6,0.1501,0.1511,0.1737,26.0131,0.1847,31.0614,0.1633,9.9429,0.2081,9.116,0.1916,36.7672,0.2129,18.358,0.2298,0.2179,0.3506,4.1793,1469.5013,2519520.6533,19.2961,0.0,0.0,11.5577,360.0,78.8471,0.0,0.0,4.9891,0.1119,0.984,0.0372,0.0342,0.0,69.4741
16,54,6,0.1751,0.1607,0.1841,23.5294,0.2168,25.8184,0.2168,10.884,0.1509,12.0456,0.154,35.1306,0.1558,16.4847,0.2824,0.2213,0.3415,3.4536,1409.78,2289715.3398,20.1047,0.0,0.0,10.3919,277.0072,57.6049,0.0,0.0,4.8405,0.1012,1.1878,0.0375,0.0366,0.0,71.8099
18,40,6,0.2055,0.2097,0.174,24.1118,0.1859,29.5858,0.1845,11.5986,0.1933,12.4304,0.1566,32.0077,0.1844,13.6562,0.2834,0.2221,0.2925,3.4475,1501.7934,3006996.5203,17.799,0.0,0.0,11.3157,318.8831,80.1106,0.0,0.0,5.9129,0.1218,1.1809,0.028,0.0341,0.0,71.888
13,47,5,0.1973,0.1731,0.2071,30.0724,0.2065,27.3717,0.1492,9.5071,0.155,9.6102,0.1609,34.6009,0.209,15.5105,0.2848,0.2755,0.2915,3.5146,1271.005,2993433.6161,17.6639,0.0,0.0,9.06,350.65,68.7931,0.0,0.0,6.8225,0.1205,0.9647,0.0263,0.0322,0.0,65.619
14,51,4,0.2072,0.1739,0.1625,25.0511,0.1538,30.7773,0.158,10.4911,0.1821,8.8987,0.1732,33.5786,0.1575,15.3528,0.2064,0.2491,0.36,4.1498,1064.9378,2671443.7295,24.9998,0.0,0.0,8.9667,303.3033,79.4576,0.0,0.0,6.8671,0.1031,0.9252,0.0345,0.0292,0.0,66.8719
13,48,5,0.1497,0.215,0.1894,26.6529,0.1941,30.5476,0.1598,11.2263,0.2026,12.0489,0.2006,26.8146,0.1791,18.2513,0.2375,0.2194,0.2732,4.1671,1325.3879,3038170.2879,19.1574,0.0,0.0,8.7606,346.8894,66.162,0.0,0.0,5.2374,0.118,0.8652,0.0269,0.0354,0.0,70.8554
17,38,5,0.1734,0.1649,0.1576,23.3212,0.1492,23.4805,0.162,8.9854,0.1503,10.3318,0.1878,31.1924,0.1609,15.3484,0.2665,0.303,0.2905,3.5599,1339.8969,2572917.8245,18.6082,0.0,0.0,11.5326,360.0,63.2292,0.0,0.0,5.9854,0.0933,0.8686,0.0281,0.0358,0.0,83.4634
13,46,6,0.1936,0.1748,0.1909,26.4104,0.1863,27.5583,0.2021,8.6413,0.2057,11.1867,0.1751,28.819,0.1698,16.5699,0.2182,0.2358,0.3311,4.554,1080.5787,2510776.8077,23.4662,0.0,0.0,9.9224,360.0,69.3229,0.0,0.0,6.2303,0.1216,1.2179,0.0354,0.0342,0.0,73.9326
19,54,6,0.187,0.1646,0.215,24.1069,0.1914,28.9653,0.191,12.0925,0.2009,9.1197,0.1808,34.6568,0.191,14.2737,0.2631,0.2789,0.2942,3.5397,1359.6414,2274113.7691,18.1263,0.0,0.0,11.4199,324.4003,57.8452,0.0,0.0,6.4882,0.1199,1.041,0.0355,0.0316,0.0,62.3491
16,45,5,0.1763,0.1778,0.1963,28.899,0.1732,25.0633,0.178,10.6679,0.1607,9.6595,0.2094,27.4773,0.1649,17.339,0.289,0.2295,0.3508,3.9757,1505.8342,2559545.2484,20.711,0.0,0.0,10.9869,360.0,68.6339,0.0,0.0,6.2659,0.086,1.1228,0.0362,0.0355,0.0,72.4659
16,47,6,0.1549,0.1985,0.2079,23.769,0.1625,30.5904,0.1671,9.3587,0.195,9.6119,0.1843,36.4772,0.1756,18.0191,0.2107,0.2201,0.3142,3.7923,1322.7488,3006864.7827,23.6133,0.0,0.0,9.5216,345.1103,71.1527,0.0,0.0,5.6615,0.0869,0.9221,0.0355,0.0409,0.0,77.949
17,47,5,0.1491,0.1743,0.1518,23.5387,0.1528,24.3267,0.1764,12.2949,0.1991,11.5102,0.1726,34.0316,0.1962,18.0462,0.2747,0.2835,0.3454,4.3699,1081.0699,2787579.3439,18.8749,0.0,0.0,10.1853,360.0,68.6915,0.0,0.0,5.4468,0.1075,0.9125,0.0303,0.0354,0.0,60.903
14,47,5,0.1855,0.2168,0.1628,28.8498,0.2001,21.6274,0.2133,11.3275,0.1884,8.7829,0.1595,33.7643,0.2137,15.5719,0.2005,0.2797,0.3246,4.5446,1207.9802,2938877.9976,21.2252,0.0,0.0,10.4072,261.8191,75.625,0.0,0.0,5.6536,0.112,1.2343,0.0269,0.0337,0.0,64.4747
15,38,5,0.1574,0.1544,0.2092,24.063,0.1561,22.6257,0.1586,8.7512,0.2011,9.428,0.1694,31.643,0.1789,17.0294,0.2674,0.2723,0.3176,3.4446,1126.6976,2762755.7023,22.3088,0.0,0.0,11.9172,313.9379,67.4074,0.0,0.0,5.6263,0.1022,1.1038,0.0317,0.0367,0.0,76.4355
16,44,6,0.1677,0.1546,0.1557,23.8742,0.1571,24.4461,0.1539,10.0154,0.2169,11.3608,0.1756,37.3744,0.1635,17.7653,0.2918,0.2923,0.2951,4.073,1159.5736,2989548.219,24.6943,0.0,0.0,9.4608,320.0553,79.2902,0.0,0.0,6.9335,0.1121,0.9731,0.0341,0.0296,0.0,77.0197
14,52,4,0.1961,0.1815,0.1937,21.629,0.1775,28.8858,0.1793,10.217,0.1563,9.5282,0.1983,26.2264,0.1835,17.8485,0.2828,0.2808,0.3533,4.2922,1403.6004,3044602.0707,22.9016,0.0,0.0,8.8214,315.2802,74.39,0.0,0.0,5.391,0.0934,1.0178,0.0357,0.0316,0.0,75.0437
13,52,4,0.1914,0.1724,0.2024,25.1544,0.1625,22.7352,0.1823,9.9254,0.1944,10.5434,0.1955,25.7117,0.19,15.2233,0.213,0.3012,0.3482,4.6742,1262.3753,2426646.3506,19.4054,0.0,0.0,9.9597,322.7318,74.8183,0.0,0.0,6.89,0.0877,1.1177,0.0264,0.0369,0.0,73.5481
17,45,6,0.1903,0.1745,0.205,27.9988,0.212,26.4274,0.2164,11.5968,0.1888,9.8253,0.1878,36.9796,0.1635,13.4768,0.2745,0.2528,0.3706,4.5423,1103.6811,2751061.7667,24.5598,0.0,0.0,9.0343,344.5656,77.9924,0.0,0.0,6.9078,0.0911,1.0816,0.0292,0.0406,0.0,60.249
13,45,5,0.1996,0.1758,0.1983,21.8109,0.1851,28.3266,0.1732,9.7237,0.1861,10.4974,0.1618,31.5841,0.1924,18.3801,0.2143,0.2863,0.3177,3.5367,1441.5228,2585145.4639,18.0179,0.0,0.0,9.6261,349.0592,78.9001,0.0,0.0,5.6962,0.1001,0.9894,0.0363,0.032,0.0,61.8017
15,50,5,0.1783,0.167,0.169,24.854,0.1832,28.4226,0.206,10.5075,0.1871,10.8003,0.1661,31.355,0.2023,18.0351,0.2303,0.2905,0.3019,4.6507,1429.4898,2700017.6955,22.9189,0.0,0.0,9.5274,356.1306,60.9226,0.0,0.0,5.4768,0.1102,1.1732,0.0364,0.0396,0.0,67.5308
17,45,6,0.1732,0.1894,0.2073,23.9093,0.1996,30.7282,0.1706,9.7725,0.1829,11.6462,0.2014,28.3921,0.2148,13.7579,0.2389,0.2407,0.3138,4.7505,1253.4703,2580174.1832,22.106,0.0,0.0,8.7897,360.0,57.0639,0.0,0.0,6.7682,0.0999,0.9044,0.027,0.03,0.0,64.7611
19,46,6,0.1555,0.1536,0.1545,24.8941,0.1873,27.5115,0.1983,10.9129,0.1873,11.4296,0.1764,28.3672,0.1875,14.3158,0.2225,0.2412,0.2698,4.2299,1235.9181,2916807.6257,22.4944,0.0,0.0,9.1838,259.8262,55.4196,0.0,0.0,6.8519,0.0997,0.9652,0.0375,0.0335,0.0,76.6405
